bin valid fake clones missed
106.1 1 0 0 0
106.5 1 0 0 0
106.6 0 1 0 0
107.1 0 3 0 0
107.4 0 3 0 0
107.5 0 1 0 0
107.7 0 1 0 0
107.8 1 0 0 0
107.9 0 1 1 0
108.1 0 1 0 0
108.4 0 3 0 0
108.5 0 1 0 0
108.7 0 1 0 0
108.9 0 1 0 0
109.3 0 2 0 0
109.4 0 1 0 0
109.6 0 1 0 0
109.9 0 1 1 0
110.1 0 1 0 0
110.2 0 1 0 0
110.4 0 2 0 0
111 0 0 1 0
111.1 0 2 0 0
111.3 0 2 0 0
111.4 0 1 0 0
112.3 1 0 0 0
112.4 0 2 0 0
112.6 0 1 0 0
112.8 0 2 0 0
113 1 0 0 0
113.1 0 1 1 0
113.3 0 1 0 0
113.4 0 2 0 0
113.7 0 2 0 0
113.9 0 1 0 0
114.2 0 1 0 0
114.8 0 1 0 0
115.4 0 3 0 0
115.5 0 1 0 0
115.6 0 1 0 0
115.8 0 1 0 0
116 0 1 0 0
116.1 0 1 0 0
116.7 0 2 0 0
117.3 1 0 0 0
117.4 0 3 0 0
117.5 0 1 0 0
117.9 0 1 0 0
118.2 1 0 0 0
118.9 0 1 0 0
119.1 0 1 0 0
119.4 0 1 0 0
119.6 0 2 0 0
119.7 1 3 0 0
119.8 0 1 1 0
120 0 3 0 0
120.1 0 2 0 0
120.2 0 6 0 0
120.4 0 2 0 0
120.5 0 1 0 0
120.6 0 1 0 0
120.8 0 2 0 0
120.9 0 2 0 0
121.2 0 1 0 0
121.3 0 1 0 0
121.4 0 1 0 0
121.8 0 1 0 0
121.9 1 1 0 0
122.1 0 1 0 0
122.7 0 2 0 0
122.8 0 1 0 0
123.2 0 1 0 0
123.6 0 1 0 0
123.7 0 1 0 0
124.3 0 1 0 0
125.1 0 1 0 0
125.2 0 1 0 0
125.5 0 1 0 0
125.6 1 2 0 0
125.7 0 1 0 0
125.8 0 0 1 0
126.3 1 0 0 0
126.6 0 1 0 0
126.8 0 1 0 0
126.9 0 1 0 0
127.1 0 4 0 0
127.3 0 2 0 0
127.4 0 2 0 0
127.6 0 1 0 0
127.7 0 1 0 0
128.1 0 2 0 0
128.6 0 1 0 0
129.2 0 1 0 0
129.3 0 1 0 0
129.5 0 1 0 0
130.8 0 1 0 0
130.9 0 1 0 0
131.1 1 0 0 0
131.5 0 1 0 0
131.6 0 1 0 0
131.7 0 1 0 0
133.2 0 2 0 0
133.6 0 3 0 0
133.9 0 2 0 0
134 0 2 0 0
134.2 0 0 1 0
134.9 1 0 0 0
135.3 0 1 0 0
136.2 0 1 0 0
136.4 0 1 0 0
136.8 0 1 0 0
137 0 1 0 0
137.6 0 2 0 0
138.1 1 0 0 0
139.5 1 0 0 0
141 0 2 0 0
141.6 2 0 0 0
141.7 0 1 0 0
141.8 1 0 0 0
142 0 1 0 0
143.1 0 1 0 0
143.2 0 2 0 0
143.4 0 1 0 0
143.5 0 3 0 0
143.6 0 1 0 0
143.9 0 1 0 0
144.3 0 2 0 0
145.8 0 1 0 0
147.2 0 1 0 0
147.8 0 1 0 0
148 0 3 0 0
148.6 0 1 0 0
148.7 0 1 0 0
148.8 0 3 0 0
148.9 0 1 0 0
149 0 1 0 0
149.1 0 1 0 0
149.4 0 2 0 0
149.9 0 1 0 0
150.5 0 1 0 0
150.6 0 1 0 0
150.8 0 0 1 0
151.1 0 1 1 0
151.2 0 2 0 0
151.4 0 2 0 0
151.8 0 2 0 0
152.1 0 0 1 0
152.5 0 1 0 0
152.9 0 1 0 0
153 0 1 0 0
153.5 0 2 1 0
153.7 0 3 0 0
153.8 0 2 0 0
153.9 0 1 0 0
154.1 0 2 0 0
155.3 0 1 0 0
156 0 1 0 0
156.1 0 1 0 0
156.3 0 1 0 0
156.5 0 1 0 0
156.6 0 1 0 0
156.9 0 1 0 0
157 0 1 0 0
157.6 1 0 0 0
157.7 0 1 0 0
157.8 0 2 0 0
158 0 1 0 0
158.1 1 0 0 0
159.6 0 1 0 0
160.5 0 1 0 0
160.8 0 1 0 0
161.2 0 1 0 0
162.2 0 0 0 1
162.3 0 1 0 0
163.6 0 1 0 0
164.1 0 1 0 0
164.4 0 1 0 0
165.8 0 1 0 0
165.9 0 2 0 0
166.8 1 0 0 0
167.8 0 1 0 0
169.2 0 1 0 0
170.8 0 1 0 0
171.1 0 2 0 0
171.7 0 1 0 0
172 0 1 0 0
172.4 0 1 0 0
173.3 0 2 0 0
173.5 0 1 0 0
174.2 0 1 0 0
174.5 0 1 0 0
175.4 0 1 0 0
175.9 0 1 0 0
178.6 0 2 0 0
179.4 0 1 0 0
180.5 0 1 0 0
181.4 0 2 0 0
182.6 0 1 0 0
182.7 0 1 0 0
182.9 0 1 0 0
183.9 0 2 0 0
184 0 0 1 0
184.2 0 1 0 0
184.8 1 0 0 0
185.3 0 2 0 0
185.6 0 3 0 0
185.8 0 1 0 0
186.1 1 1 0 0
186.2 0 1 0 0
188.4 1 0 0 0
191.8 0 1 0 0
192.9 0 1 0 0
193.3 0 1 0 0
193.7 0 1 0 0
194.9 0 1 0 0
195.6 0 1 0 0
196 0 1 0 0
196.2 0 0 1 0
196.8 1 0 0 0
197 1 0 0 0
197.9 0 1 0 0
199.5 0 1 0 0
200.2 0 3 0 0
200.3 0 1 0 0
200.4 0 0 1 0
201.3 0 1 0 0
202.7 0 1 0 0
203.5 0 1 0 0
205.5 1 0 0 0
206.3 1 0 0 0
207.2 1 0 0 0
207.4 0 1 0 0
210.8 0 1 0 0
211.4 0 0 1 0
212.1 0 1 0 0
212.7 0 1 0 0
212.9 0 1 0 0
213.7 0 1 0 0
214.1 0 1 0 0
214.5 0 1 0 0
214.7 0 1 0 0
215.3 1 0 0 0
215.8 0 1 0 0
216.1 0 3 0 0
216.8 1 0 0 0
217.4 0 1 0 0
218 0 1 0 0
221 0 1 0 0
221.5 0 1 0 0
221.9 1 0 0 0
222.9 0 2 0 0
223 0 1 0 0
223.2 0 1 0 0
223.7 0 1 0 0
223.9 0 1 0 0
225.7 0 1 0 0
226.8 0 1 0 0
227.5 0 1 0 0
229.1 0 1 0 0
229.6 0 2 0 0
229.7 1 0 0 0
231.3 0 1 0 0
233.9 1 0 0 0
237.8 0 1 0 0
242.6 0 1 0 0
243.3 1 0 0 0
244.8 0 2 0 0
245.1 0 1 0 0
245.2 1 0 0 0
245.5 0 0 1 0
245.8 0 1 0 0
245.9 0 1 0 0
247.5 1 0 0 0
248.2 1 0 0 0
248.9 0 1 0 0
249.1 0 1 0 0
249.8 0 1 0 0
250.8 0 1 0 0
252.4 0 2 0 0
253.5 0 1 0 0
255.6 0 1 0 0
257.6 0 1 0 0
258.1 1 0 0 0
259.4 1 0 0 0
262.2 0 1 0 0
262.7 0 1 0 0
272.3 0 3 0 0
274.5 0 1 0 0
274.6 0 1 0 0
278.2 1 0 0 0
280.2 0 1 0 0
280.7 0 2 0 0
283.2 0 1 0 0
284.2 1 0 0 0
286.7 0 1 0 0
287.4 0 1 0 0
287.9 1 0 1 0
288.4 1 0 0 0
290.2 1 0 0 0
291.1 1 0 0 0
292.3 0 1 0 0
292.5 0 1 0 0
293 0 1 0 0
297.3 0 1 0 0
297.8 1 0 0 0
303.2 0 1 0 0
309.4 0 1 0 0
311.6 0 1 0 0
315.5 0 1 0 0
318.1 1 1 0 0
321.2 0 1 0 0
329.4 0 1 0 0
330 1 0 0 0
332.2 0 1 0 0
332.5 0 1 0 0
338.8 0 1 0 0
340.9 0 2 0 0
344.4 0 1 0 0
344.6 0 2 0 0
347.9 0 1 0 0
355.4 0 2 0 0
356.7 0 2 0 0
357.9 0 0 1 0
361.5 1 0 0 0
363.9 1 0 0 0
366.8 0 2 0 0
367.4 0 2 0 0
369.5 0 1 0 0
